obligacion;valor pago;fecha;cod
1023456789;$ 68.524.572;1/10/2020;recaudo
1023456790;$ 52.951.102;2/10/2020;recaudo
1023456791;$ 47.785.328;3/10/2020;recaudo
1023456792;$ 60.152.410;4/10/2020;recaudo
1023456793;$ 75.182.472;5/10/2020;recaudo
1023456794;$ 87.060.720;6/10/2020;recaudo
1023456795;$ 67.736.220;7/10/2020;recaudo
1023456796;$ 12.183.215;8/10/2020;recaudo
1023456797;$ 55.092.711;9/10/2020;recaudo
1023456798;$ 78.403.758;10/10/2020;recaudo
1023456799;$ 6.070.752;11/10/2020;recaudo
1023456800;$ 84.042.423;12/10/2020;recaudo
1023456801;$ 71.555.577;13/10/2020;recaudo
1023456802;$ 92.501.360;14/10/2020;recaudo
1023456803;$ 93.116.701;15/10/2020;recaudo
1023456804;$ 12.320.099;16/10/2020;recaudo
1023456819;$ 18.897.466;17/10/2020;recaudo
1023456820;$ 55.687.233;18/10/2020;recaudo
1023456821;$ 16.308.727;19/10/2020;recaudo
1023456822;$ 44.758.939;20/10/2020;recaudo
1023456823;$ 12.674.258;21/10/2020;recaudo
1023456824;$ 99.838.800;22/10/2020;recaudo
1023456825;$ 84.136.334;1/10/2020;recaudo
1023456826;$ 63.280.056;2/10/2020;recaudo
1023456827;$ 9.672.636;3/10/2020;recaudo
1023456828;$ 86.960.995;4/10/2020;recaudo
1023456829;$ 41.213.299;5/10/2020;recaudo
1023456830;$ 60.890.259;6/10/2020;recaudo
1023456831;$ 13.286.866;7/10/2020;recaudo
1023456832;$ 1.556.207;8/10/2020;recaudo
1023456833;$ 53.364.621;9/10/2020;recaudo
1023456834;$ 21.772.210;10/10/2020;recaudo
1023456835;$ 25.527.564;11/10/2020;recaudo
1023456836;$ 70.383.839;12/10/2020;recaudo
1023456837;$ 96.577.629;13/10/2020;recaudo
1023456838;$ 21.070.276;14/10/2020;recaudo
1023456840;$ 76.325.335;15/10/2020;recaudo
1023456841;$ 58.038.652;16/10/2020;recaudo
1023456842;$ 25.333.404;17/10/2020;recaudo
1023456843;$ 19.143.086;18/10/2020;recaudo
1023456844;$ 32.630.474;19/10/2020;recaudo
1023456845;$ 86.469.084;20/10/2020;recaudo
1023456846;$ 61.545.956;21/10/2020;recaudo
1023456847;$ 38.734.749;22/10/2020;recaudo
1023456848;$ 39.517.850;1/10/2020;recaudo
1023456849;$ 66.534.979;2/10/2020;recaudo
1023456850;$ 48.067.827;3/10/2020;recaudo
1023456851;$ 61.736.578;4/10/2020;recaudo
1023456852;$ 16.509.263;5/10/2020;recaudo
1023456853;$ 63.241.766;6/10/2020;recaudo
1023456854;$ 2.368.830;7/10/2020;recaudo
1023456855;$ 40.270.540;8/10/2020;recaudo
1023456856;$ 37.553.657;9/10/2020;recaudo
1023456857;$ 34.782.643;10/10/2020;recaudo
1023456858;$ 99.088.711;11/10/2020;recaudo
1023456859;$ 84.312.428;12/10/2020;recaudo
1023456860;$ 75.524.215;13/10/2020;recaudo
1023456861;$ 37.176.787;14/10/2020;recaudo
1023456862;$ 59.082.178;15/10/2020;recaudo
1023456863;$ 96.150.174;16/10/2020;recaudo
1023456864;$ 515.561;17/10/2020;recaudo
1023456865;$ 57.469.558;18/10/2020;recaudo
1023456866;$ 97.036.188;19/10/2020;recaudo
1023456867;$ 55.719.672;20/10/2020;recaudo
1023456868;$ 64.037.674;21/10/2020;recaudo
1023456869;$ 95.588.852;22/10/2020;recaudo
1023456870;$ 45.915.701;1/10/2020;recaudo
1023456871;$ 22.641.790;2/10/2020;recaudo
1023456872;$ 53.231.151;3/10/2020;recaudo
1023456873;$ 9.383.274;4/10/2020;recaudo
1023456874;$ 76.508.734;5/10/2020;recaudo
1023456875;$ 91.105.897;6/10/2020;recaudo
1023456876;$ 52.191.929;7/10/2020;recaudo
1023456877;$ 65.152.290;8/10/2020;recaudo
1023456878;$ 5.534.963;9/10/2020;recaudo
1023456879;$ 16.739.621;10/10/2020;recaudo
1023456880;$ 82.741.354;11/10/2020;recaudo
1023456881;$ 84.925.775;12/10/2020;recaudo
